Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,class,data,method,model
0.8421052631578947,0.9422222222222222,0.7111111111111109,0.9724770642201835,0.7111111111111111,0.8421052631578947,0.7710843373493975,0.1444866920152091,0.12167300380228137,0.17110266159695817,0.8921637426900584,CMS1,NS,Euclidean,DTC
0.6320754716981132,0.89171974522293,0.7976190476190477,0.7821229050279329,0.7976190476190477,0.6320754716981132,0.7052631578947369,0.40304182509505704,0.25475285171102663,0.3193916349809886,0.7618976084605216,CMS2,NS,Euclidean,DTC
0.7241379310344828,0.9444444444444444,0.6176470588235293,0.965065502183406,0.6176470588235294,0.7241379310344828,0.6666666666666667,0.11026615969581749,0.07984790874524715,0.12927756653992395,0.8342911877394636,CMS3,NS,Euclidean,DTC
0.7321428571428571,0.9420289855072463,0.7735849056603772,0.9285714285714285,0.7735849056603774,0.7321428571428571,0.7522935779816513,0.21292775665399238,0.155893536121673,0.20152091254752852,0.8370859213250517,CMS4,NS,Euclidean,DTC
0.3235294117647059,0.8427947598253275,0.23404255319148934,0.8935185185185185,0.23404255319148937,0.3235294117647059,0.271604938271605,0.12927756653992395,0.04182509505703422,0.17870722433460076,0.5831620857950167,NOLBL,NS,Euclidean,DTC
0.8157894736842105,0.9111111111111111,0.6078431372549019,0.96698113207547165,0.6078431372549019,0.8157894736842105,0.6966292134831461,0.1444866920152091,0.11787072243346007,0.19391634980988592,0.8634502923976608,CMS1,NS,Manhattan,DTC
0.6415094339622641,0.8853503184713376,0.7906976744186047,0.7853107344632768,0.7906976744186046,0.6415094339622641,0.7083333333333334,0.40304182509505704,0.2585551330798479,0.3269961977186312,0.7634298762168008,CMS2,NS,Manhattan,DTC
0.6551724137931034,0.9444444444444444,0.5937499999999999,0.9567099567099567,0.59375,0.6551724137931034,0.6229508196721311,0.11026615969581749,0.07224334600760456,0.12167300380228137,0.7998084291187739,CMS3,NS,Manhattan,DTC
0.7142857142857143,0.9371980676328503,0.7547169811320756,0.9238095238095239,0.7547169811320755,0.7142857142857143,0.7339449541284405,0.21292775665399238,0.1520912547528517,0.20152091254752852,0.8257418909592823,CMS4,NS,Manhattan,DTC
0.29411764705882354,0.8646288209606987,0.24390243902439027,0.8918918918918919,0.24390243902439024,0.29411764705882354,0.2666666666666666,0.12927756653992395,0.03802281368821293,0.155893536121673,0.5793732340097612,NOLBL,NS,Manhattan,DTC
0.8157894736842105,0.9066666666666666,0.596153846153846,0.966824644549763,0.5961538461538461,0.8157894736842105,0.6888888888888889,0.1444866920152091,0.11787072243346007,0.19771863117870722,0.8612280701754386,CMS1,NS,Canberra,DTC
0.5471698113207547,0.9171974522292994,0.8169014084507042,0.75,0.8169014084507042,0.5471698113207547,0.6553672316384181,0.40304182509505704,0.22053231939163498,0.26996197718631176,0.732183631775027,CMS2,NS,Canberra,DTC
0.6551724137931034,0.9316239316239316,0.5428571428571429,0.956140350877193,0.5428571428571428,0.6551724137931034,0.5937499999999999,0.11026615969581749,0.07224334600760456,0.13307984790874525,0.7933981727085175,CMS3,NS,Canberra,DTC
0.7678571428571429,0.893719806763285,0.6615384615384615,0.9343434343434344,0.6615384615384615,0.7678571428571429,0.7107438016528925,0.21292775665399238,0.1634980988593156,0.24714828897338403,0.8307884748102139,CMS4,NS,Canberra,DTC
0.20588235294117646,0.8558951965065502,0.175,0.8789237668161435,0.175,0.20588235294117646,0.18918918918918917,0.12927756653992395,0.026615969581749048,0.1520912547528517,0.5308887747238633,NOLBL,NS,Canberra,DTC
0.8421052631578947,0.9422222222222222,0.7111111111111109,0.9724770642201835,0.7111111111111111,0.8421052631578947,0.7710843373493975,0.1444866920152091,0.12167300380228137,0.17110266159695817,0.8921637426900584,CMS1,NS,Minkowski,DTC
0.6320754716981132,0.89171974522293,0.7976190476190477,0.7821229050279329,0.7976190476190477,0.6320754716981132,0.7052631578947369,0.40304182509505704,0.25475285171102663,0.3193916349809886,0.7618976084605216,CMS2,NS,Minkowski,DTC
0.7241379310344828,0.9444444444444444,0.6176470588235293,0.965065502183406,0.6176470588235294,0.7241379310344828,0.6666666666666667,0.11026615969581749,0.07984790874524715,0.12927756653992395,0.8342911877394636,CMS3,NS,Minkowski,DTC
0.7321428571428571,0.9420289855072463,0.7735849056603772,0.9285714285714285,0.7735849056603774,0.7321428571428571,0.7522935779816513,0.21292775665399238,0.155893536121673,0.20152091254752852,0.8370859213250517,CMS4,NS,Minkowski,DTC
0.3235294117647059,0.8427947598253275,0.23404255319148934,0.8935185185185185,0.23404255319148937,0.3235294117647059,0.271604938271605,0.12927756653992395,0.04182509505703422,0.17870722433460076,0.5831620857950167,NOLBL,NS,Minkowski,DTC
