Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,class,data,k,model
0.4827586206896552,0.9615384615384616,0.6086956521739132,0.9375000000000001,0.6086956521739131,0.4827586206896552,0.5384615384615384,0.11026615969581749,0.053231939163498096,0.08745247148288973,0.7221485411140584,CMS3,NS,3,kNN
0.6428571428571429,0.9130434782608695,0.6666666666666666,0.9043062200956938,0.6666666666666666,0.6428571428571429,0.6545454545454545,0.21292775665399238,0.13688212927756654,0.20532319391634982,0.7779503105590062,CMS4,NS,3,kNN
0.11764705882352941,0.9737991266375546,0.40000000000000047,0.8814229249011858,0.4,0.11764705882352941,0.1818181818181818,0.12927756653992395,0.015209125475285171,0.03802281368821293,0.545723092730542,NOLBL,NS,3,kNN
0.7105263157894737,0.9866666666666667,0.9000000000000002,0.9527896995708154,0.9,0.7105263157894737,0.7941176470588235,0.1444866920152091,0.10266159695817491,0.11406844106463879,0.8485964912280701,CMS1,NS,5,kNN
0.9150943396226415,0.6178343949044586,0.6178343949044586,0.9150943396226415,0.6178343949044586,0.9150943396226415,0.7376425855513308,0.40304182509505704,0.3688212927756654,0.596958174904943,0.76646436726355,CMS2,NS,5,kNN
0.4482758620689655,0.9615384615384616,0.590909090909091,0.9336099585062241,0.5909090909090909,0.4482758620689655,0.5098039215686274,0.11026615969581749,0.049429657794676805,0.08365019011406843,0.7049071618037135,CMS3,NS,5,kNN
0.6071428571428571,0.9420289855072463,0.7391304347826085,0.8986175115207372,0.7391304347826086,0.6071428571428571,0.6666666666666666,0.21292775665399238,0.12927756653992395,0.17490494296577946,0.7745859213250517,CMS4,NS,5,kNN
0.058823529411764705,0.9737991266375546,0.2500000000000004,0.8745098039215686,0.25,0.058823529411764705,0.09523809523809523,0.12927756653992395,0.0076045627376425855,0.030418250950570342,0.5163113280246596,NOLBL,NS,5,kNN
0.7368421052631579,0.9866666666666667,0.9032258064516131,0.9568965517241379,0.9032258064516129,0.7368421052631579,0.8115942028985507,0.1444866920152091,0.10646387832699619,0.11787072243346007,0.8617543859649123,CMS1,NS,7,kNN
0.9716981132075472,0.5605095541401274,0.5988372093023255,0.967032967032967,0.5988372093023255,0.9716981132075472,0.7410071942446043,0.40304182509505704,0.3916349809885932,0.6539923954372624,0.7661038336738373,CMS2,NS,7,kNN
0.3448275862068966,0.9914529914529915,0.8333333333333338,0.9243027888446216,0.8333333333333334,0.3448275862068966,0.4878048780487806,0.11026615969581749,0.03802281368821293,0.045627376425855515,0.668140288829944,CMS3,NS,7,kNN
0.625,0.9468599033816425,0.7608695652173914,0.9032258064516129,0.7608695652173914,0.625,0.6862745098039216,0.21292775665399238,0.13307984790874525,0.17490494296577946,0.7859299516908212,CMS4,NS,7,kNN
0.029411764705882353,0.9956331877729258,0.4999999999999994,0.8735632183908046,0.5,0.029411764705882353,0.05555555555555555,0.12927756653992395,0.0038022813688212928,0.0076045627376425855,0.5125224762394041,NOLBL,NS,7,kNN
0.7105263157894737,0.9911111111111112,0.9310344827586211,0.9529914529914529,0.9310344827586207,0.7105263157894737,0.8059701492537312,0.1444866920152091,0.10266159695817491,0.11026615969581749,0.8508187134502925,CMS1,NS,9,kNN
0.9905660377358491,0.554140127388535,0.6,0.9886363636363638,0.6,0.9905660377358491,0.7473309608540926,0.40304182509505704,0.39923954372623577,0.6653992395437263,0.772353082562192,CMS2,NS,9,kNN
0.3448275862068966,0.9957264957264957,0.9090909090909094,0.9246031746031746,0.9090909090909091,0.3448275862068966,0.5000000000000001,0.11026615969581749,0.03802281368821293,0.04182509505703422,0.6702770409666962,CMS3,NS,9,kNN
0.625,0.9516908212560387,0.7777777777777778,0.9036697247706422,0.7777777777777778,0.625,0.6930693069306931,0.21292775665399238,0.13307984790874525,0.17110266159695817,0.7883454106280193,CMS4,NS,9,kNN
0.058823529411764705,0.9956331877729258,0.6666666666666662,0.8769230769230769,0.6666666666666666,0.058823529411764705,0.10810810810810811,0.12927756653992395,0.0076045627376425855,0.011406844106463879,0.5272283585923452,NOLBL,NS,9,kNN
0.7368421052631579,0.9955555555555555,0.9655172413793102,0.9572649572649573,0.9655172413793104,0.7368421052631579,0.835820895522388,0.1444866920152091,0.10646387832699619,0.11026615969581749,0.8661988304093566,CMS1,NS,11,kNN
1,0.4968152866242038,0.572972972972973,1,0.572972972972973,1,0.7285223367697595,0.40304182509505704,0.40304182509505704,0.7034220532319392,0.7484076433121019,CMS2,NS,11,kNN
0.2413793103448276,0.9957264957264957,0.8750000000000003,0.9137254901960785,0.875,0.2413793103448276,0.3783783783783784,0.11026615969581749,0.026615969581749048,0.030418250950570342,0.6185529030356617,CMS3,NS,11,kNN
0.5892857142857143,0.9758454106280193,0.868421052631579,0.8977777777777778,0.868421052631579,0.5892857142857143,0.7021276595744681,0.21292775665399238,0.12547528517110265,0.1444866920152091,0.7825655624568668,CMS4,NS,11,kNN
0.029411764705882353,0.9912663755458515,0.3333333333333328,0.8730769230769231,0.3333333333333333,0.029411764705882353,0.05405405405405406,0.12927756653992395,0.0038022813688212928,0.011406844106463879,0.5103390701258669,NOLBL,NS,11,kNN
